6 7 10 11 + 8
6 7 10 11 + 9
6 7 10 11 + 12
6 7 10 11 + 13
6 7 10 11 + 14
6 7 10 11 + 15
3 9 10 11 + 0
3 9 10 11 + 1
3 9 10 11 + 2
3 9 10 11 + 4
3 9 10 11 + 5
3 9 10 11 + 6
3 9 10 11 + 7
3 9 10 11 + 8
3 9 10 11 + 12
3 9 10 11 + 13
3 9 10 11 + 14
3 9 10 11 + 15
7 9 10 11 + 0
7 9 10 11 + 1
7 9 10 11 + 2
7 9 10 11 + 3
7 9 10 11 + 4
7 9 10 11 + 5
7 9 10 11 + 6
7 9 10 11 + 8
7 9 10 11 + 12
7 9 10 11 + 13
7 9 10 11 + 14
7 9 10 11 + 15
8 9 10 11 + 0
8 9 10 11 + 1
8 9 10 11 + 2
8 9 10 11 + 3
8 9 10 11 + 4
8 9 10 11 + 5
8 9 10 11 + 6
8 9 10 11 + 7
8 9 10 11 + 12
8 9 10 11 + 13
8 9 10 11 + 14
8 9 10 11 + 15
0 1 2 12 + 3
0 1 2 12 + 4
0 1 2 12 + 5
0 1 2 12 + 6
0 1 2 12 + 7
0 1 2 12 + 8
0 1 2 12 + 9
0 1 2 12 + 10
0 1 2 12 + 11
0 1 2 12 + 13
0 1 2 12 + 14
0 1 2 12 + 15
0 1 4 12 + 2
0 1 4 12 + 3
0 1 4 12 + 5
0 1 4 12 + 6
0 1 4 12 + 7
0 1 4 12 + 8
0 1 4 12 + 9
0 1 4 12 + 10
0 1 4 12 + 11
0 1 4 12 + 13
0 1 4 12 + 14
0 1 4 12 + 15
0 4 5 12 + 1
0 4 5 12 + 2
0 4 5 12 + 3
0 4 5 12 + 6
0 4 5 12 + 7
0 4 5 12 + 8
0 4 5 12 + 9
0 4 5 12 + 10
0 4 5 12 + 11
0 4 5 12 + 13
0 4 5 12 + 14
0 4 5 12 + 15
4 5 6 12 + 0
4 5 6 12 + 1
4 5 6 12 + 2
4 5 6 12 + 3
4 5 6 12 + 7
4 5 6 12 + 8
4 5 6 12 + 9
4 5 6 12 + 10
4 5 6 12 + 11
4 5 6 12 + 13
4 5 6 12 + 14
4 5 6 12 + 15
0 1 8 12 + 2
0 1 8 12 + 3
0 1 8 12 + 4
0 1 8 12 + 5
0 1 8 12 + 6
0 1 8 12 + 7
0 1 8 12 + 9
0 1 8 12 + 10
0 1 8 12 + 11
0 1 8 12 + 13
0 1 8 12 + 14
0 1 8 12 + 15
0 4 8 12 + 1
0 4 8 12 + 2
0 4 8 12 + 3
0 4 8 12 + 5
0 4 8 12 + 6
0 4 8 12 + 7
0 4 8 12 + 9
0 4 8 12 + 10
0 4 8 12 + 11
0 4 8 12 + 13
0 4 8 12 + 14
0 4 8 12 + 15
4 5 8 12 + 0
4 5 8 12 + 1
4 5 8 12 + 2
4 5 8 12 + 3
4 5 8 12 + 6
4 5 8 12 + 7
4 5 8 12 + 9
4 5 8 12 + 10
4 5 8 12 + 11
4 5 8 12 + 13
4 5 8 12 + 14
4 5 8 12 + 15
0 8 9 12 + 1
0 8 9 12 + 2
0 8 9 12 + 3
0 8 9 12 + 4
0 8 9 12 + 5
0 8 9 12 + 6
0 8 9 12 + 7
0 8 9 12 + 10
0 8 9 12 + 11
0 8 9 12 + 13
0 8 9 12 + 14
0 8 9 12 + 15
4 8 9 12 + 0
4 8 9 12 + 1
4 8 9 12 + 2
4 8 9 12 + 3
4 8 9 12 + 5
4 8 9 12 + 6
4 8 9 12 + 7
4 8 9 12 + 10
4 8 9 12 + 11
4 8 9 12 + 13
4 8 9 12 + 14
4 8 9 12 + 15
8 9 10 12 + 0
8 9 10 12 + 1
8 9 10 12 + 2
8 9 10 12 + 3
8 9 10 12 + 4
8 9 10 12 + 5
8 9 10 12 + 6
8 9 10 12 + 7
8 9 10 12 + 11
8 9 10 12 + 13
8 9 10 12 + 14
8 9 10 12 + 15
1 5 9 13 + 0
1 5 9 13 + 2
1 5 9 13 + 3
1 5 9 13 + 4
1 5 9 13 + 6
1 5 9 13 + 7
1 5 9 13 + 8
1 5 9 13 + 10
1 5 9 13 + 11
1 5 9 13 + 12
1 5 9 13 + 14
1 5 9 13 + 15
0 1 12 13 + 2
0 1 12 13 + 3
0 1 12 13 + 4
0 1 12 13 + 5
0 1 12 13 + 6
0 1 12 13 + 7
0 1 12 13 + 8
0 1 12 13 + 9
0 1 12 13 + 10
